campaignId,influencerId,likes,comments,shares,views
100,influencer_752,3277,868,183,56270
108,influencer_950,4018,659,328,89678
106,influencer_650,781,720,26,9418
100,influencer_681,2637,906,359,53537
102,influencer_357,4848,703,202,11346
107,influencer_921,3966,784,456,52246
104,influencer_158,1351,522,293,34789
108,influencer_656,934,184,210,56944
100,influencer_741,4083,54,80,66304
102,influencer_859,4401,408,388,24876
105,influencer_525,2663,674,215,86247
105,influencer_992,518,869,301,95600
104,influencer_152,4161,297,41,96408
108,influencer_15,2816,592,296,52770
102,influencer_871,4560,896,348,21399
105,influencer_215,1394,838,67,15255
109,influencer_167,2851,427,32,20909
100,influencer_881,3204,201,175,95972
105,influencer_203,3327,158,229,87526
100,influencer_627,2235,558,7,26445
103,influencer_816,4590,139,445,29647
102,influencer_36,564,748,4,81155
102,influencer_645,4605,808,324,26665
105,influencer_244,3364,308,247,52685
107,influencer_216,4301,778,37,74975
105,influencer_644,1767,869,229,74301
108,influencer_932,2496,370,127,75961
105,influencer_143,4819,331,233,72827
103,influencer_462,4700,492,28,92001
109,influencer_143,4499,662,62,47088
107,influencer_647,3631,905,428,11036
103,influencer_287,3076,1000,469,16402
103,influencer_718,4896,426,347,69162
107,influencer_561,3464,965,111,89717
109,influencer_75,3739,274,394,69782
109,influencer_302,4459,641,439,60253
101,influencer_912,4138,614,34,84469
110,influencer_169,405,746,99,39265
104,influencer_758,1862,585,246,62017
106,influencer_705,1781,673,327,71906
101,influencer_66,2410,129,153,42992
107,influencer_44,1292,376,488,50721
106,influencer_229,2208,526,82,50155
110,influencer_598,2824,636,373,22349
106,influencer_410,3610,827,294,97549
106,influencer_887,3588,577,416,34219
106,influencer_415,3947,193,269,56055
106,influencer_802,2144,342,259,58705
107,influencer_878,585,130,302,59443
104,influencer_129,1256,828,284,62528
110,influencer_748,346,698,484,65393
105,influencer_902,4281,31,384,14329
109,influencer_678,1419,689,269,57047
104,influencer_765,3002,54,291,93349
102,influencer_18,4133,348,132,77694
104,influencer_169,508,199,437,30219
103,influencer_16,3513,322,365,97686
102,influencer_905,3086,192,458,23258
109,influencer_287,3987,511,388,46976
102,influencer_759,3534,815,372,38382
104,influencer_289,588,163,431,85529
105,influencer_639,1240,524,343,31738
103,influencer_604,305,825,180,5252
110,influencer_63,2695,917,37,12624
105,influencer_71,4357,621,221,10783
102,influencer_676,1002,569,395,71080
105,influencer_288,3090,501,359,45796
105,influencer_733,3792,356,208,94156
103,influencer_60,2846,115,323,80701
105,influencer_115,2589,614,499,99918
100,influencer_603,2242,374,419,68079
105,influencer_915,1408,74,22,21215
109,influencer_210,231,195,146,67288
105,influencer_947,4005,748,416,98138
103,influencer_526,884,874,80,85812
100,influencer_709,707,616,7,5283
105,influencer_126,1084,85,228,47072
106,influencer_393,3254,715,35,54746
109,influencer_645,4147,97,470,85006
110,influencer_275,2980,556,380,31747
101,influencer_323,4595,303,55,7141
105,influencer_211,1806,652,419,76849
106,influencer_685,3590,724,488,41369
108,influencer_715,1305,21,80,46557
100,influencer_83,1172,739,454,7516
106,influencer_82,4777,39,88,11442
101,influencer_525,3609,517,155,22994
108,influencer_175,2872,327,339,71257
102,influencer_667,3123,955,399,15337
101,influencer_493,2471,872,321,96530
102,influencer_961,2131,778,19,28329
107,influencer_322,1326,685,147,84306
100,influencer_734,3380,927,233,28318
109,influencer_184,1097,198,453,91379
100,influencer_676,1538,786,397,36432
107,influencer_111,3505,67,47,60951
101,influencer_636,906,474,184,77155
106,influencer_912,1502,465,131,63274
110,influencer_577,2053,618,294,81388
108,influencer_57,1055,264,87,48046
102,influencer_592,3902,668,26,38287
103,influencer_507,188,354,262,78094
107,influencer_135,668,502,279,43209
104,influencer_706,3911,22,53,41744
108,influencer_685,4029,584,248,14620
101,influencer_572,772,939,200,31942
101,influencer_623,4306,565,6,42604
106,influencer_939,4435,7,196,94355
102,influencer_954,4905,423,257,40138
106,influencer_481,2846,203,230,80317
108,influencer_622,403,222,273,71086
109,influencer_396,1993,190,245,73504
103,influencer_845,187,255,31,26250
108,influencer_28,700,68,430,40201
110,influencer_487,3352,326,455,73662
102,influencer_577,4584,262,62,62319
104,influencer_660,2157,183,347,97196
100,influencer_610,3791,256,426,90410
101,influencer_112,2883,834,331,26476
105,influencer_82,3610,14,130,58668
102,influencer_119,1956,127,436,56368
105,influencer_787,1237,989,161,56873
100,influencer_12,345,734,464,1670
101,influencer_67,3397,907,482,84686
101,influencer_881,2358,672,229,70513
106,influencer_415,1574,937,439,74861
102,influencer_956,3170,293,298,12130
105,influencer_726,4217,724,318,97580
109,influencer_106,291,928,183,43489
108,influencer_995,4918,790,202,22465
109,influencer_317,788,303,255,93919
101,influencer_733,673,717,308,55264
104,influencer_121,3409,42,377,98840
107,influencer_370,1143,513,391,21042
110,influencer_123,4860,355,196,58162
109,influencer_68,4058,952,129,95826
104,influencer_686,1982,6,73,90829
101,influencer_689,4039,87,2,61300
110,influencer_585,3492,61,385,95384
109,influencer_740,3879,123,328,12028
106,influencer_236,3833,455,349,92687
105,influencer_28,1694,779,366,90101
109,influencer_856,1833,496,483,13046
104,influencer_556,1750,736,247,52700
110,influencer_592,870,282,256,95246
103,influencer_352,1301,930,12,63478
104,influencer_469,4609,226,356,53213
101,influencer_508,2004,330,371,36629
104,influencer_649,1520,52,118,11476
109,influencer_710,875,51,216,76784
101,influencer_549,1792,837,21,77411
106,influencer_498,3440,707,240,21333
101,influencer_676,4640,970,491,50104
105,influencer_187,1769,233,292,64671
100,influencer_535,3948,798,481,24705
104,influencer_859,1491,31,184,86460
108,influencer_490,942,858,292,89777
105,influencer_594,4000,724,489,77088
102,influencer_223,4675,55,32,80165
107,influencer_384,1774,824,1,92316
101,influencer_444,1086,745,227,9175
101,influencer_825,1750,792,381,82168
110,influencer_288,4110,213,92,65143
109,influencer_357,236,748,230,41878
105,influencer_569,2861,737,242,42990
106,influencer_80,1520,54,201,3529
106,influencer_238,1666,882,205,39158
104,influencer_579,1414,144,291,42451
